observation_radius,fov,planner,policy,metric,observed_events,possible_events,coverage,event_weighted_mean,ci95_low,ci95_high
1,3x3,astar,certificate_repair,critical_peer_observation_step,400,400,1.0,0.0,0.0,0.0
1,3x3,astar,certificate_repair,critical_self_observation_step,13,400,0.0325,6.0,6.0,6.0
1,3x3,astar,certificate_repair,route_commitment_step,400,400,1.0,2.0,2.0,2.0
1,3x3,astar,certificate_repair,visibility_gap_steps,13,400,0.0325,6.0,6.0,6.0
1,3x3,astar,certificate_repair,usable_communication_window_steps,400,400,1.0,2.0,2.0,2.0
1,3x3,astar,certificate_repair,decision_before_self_observation_rate,13,400,0.0325,1.0,1.0,1.0
1,3x3,astar,certificate_repair,certificate_candidate_cap_hit_rate,20000,20000,1.0,0.47775,0.4753,0.48
2,5x5,astar,certificate_repair,critical_peer_observation_step,400,400,1.0,0.0,0.0,0.0
2,5x5,astar,certificate_repair,critical_self_observation_step,239,400,0.5975,9.192468619246862,9.05691056910569,9.329113924050633
2,5x5,astar,certificate_repair,route_commitment_step,400,400,1.0,2.0,2.0,2.0
2,5x5,astar,certificate_repair,visibility_gap_steps,239,400,0.5975,9.192468619246862,9.056,9.331798268273026
2,5x5,astar,certificate_repair,usable_communication_window_steps,400,400,1.0,2.0,2.0,2.0
2,5x5,astar,certificate_repair,decision_before_self_observation_rate,239,400,0.5975,1.0,1.0,1.0
2,5x5,astar,certificate_repair,certificate_candidate_cap_hit_rate,20000,20000,1.0,0.3662,0.36235,0.37
3,7x7,astar,certificate_repair,critical_peer_observation_step,400,400,1.0,0.0,0.0,0.0
3,7x7,astar,certificate_repair,critical_self_observation_step,383,400,0.9575,6.738903394255875,6.612137203166227,6.869451697127937
3,7x7,astar,certificate_repair,route_commitment_step,377,400,0.9425,2.0,2.0,2.0
3,7x7,astar,certificate_repair,visibility_gap_steps,383,400,0.9575,6.738903394255875,6.611548556430447,6.869233333333333
3,7x7,astar,certificate_repair,usable_communication_window_steps,377,400,0.9425,2.0,2.0,2.0
3,7x7,astar,certificate_repair,decision_before_self_observation_rate,383,400,0.9575,1.0,1.0,1.0
3,7x7,astar,certificate_repair,certificate_candidate_cap_hit_rate,19544,19544,1.0,0.14372697503069995,0.1403050778050778,0.14713441344332925
